"","WISE3_ID","LATITUDE_DECIMAL","LONGITUDE_DECIMAL","COUNTRY","SOLDEP","FAO_74","USCL","SLOPE","cosine_similarity_index_stage_1","cosine_similarity_index_stage_2","HONU","TOP_DEP","BOT_DEP","SAND","SILT","CLAY","SOIL_PROFILE_AWC"
"38254","TG0008",9.75,1.33333333333,"Togo",140,"Vc","","",0.670838278230121,0.991467686930246,1,0,12,60,20,20,16.5518362745
"36219","RW0011",-1.93333333333,30.0666666667,"Rwanda",198,"Vp","Typic Pellusterts","10",0.912376929566219,0.981470224595797,1,0,34,50,22,28,14.1683881771
"8422","BR0384",-7.38,-36,"Brazil",125,"Vp","","",0.729417586100267,0.976573930483592,1,0,10,48,22,30,11.7314263194
"23330","IN0128",17.6666666667,78.0833333333,"India",103,"Vc","Typic Chromustert","",0.767136096586428,0.949627916390227,1,0,2,40,23,37,13.4735182732
"41097","TZ0144",-4.28333333333,33.9,"Tanzania, United Republic Of",120,"Vp","Typic Pellustert","1",0.900528234070349,0.922435893223614,1,0,25,39,16,45,15.590776556
